pay;année;pays;energie;fertilit;espervie;mortinfa;croispop;dépeduc;scolprim;vaagricu;prodelec;engrais;ide;pibhab;irrigati;vaindust;vaservic;urbanisa;analphab;forêt;pêche;tranpair;co2
Algérie;90;Algérie90;956,2;4,49;67,37;42;2,56;5,31;100,17;11,36;16104000000;179,35;12,16;4443,05;5,03;48,17;40,47;51,4;52,86;4061;91047;14,6;3,21
Chypre;90;Chypre90;2255,51;2,42;76,54;10;1,48;3,48;90,03;6,86;1974000000;2144,53;-0,88;10060;22,93;25,93;67,21;64,98;94,29;123;2709;34,3;6,83
Egypte;90;Egypte90;610,66;3,97;62,8;76;2,29;3,89;93,83;19,37;42256000000;4198,54;-0,7;2372,01;100;28,67;51,96;43,43;47,1;34;312950;144;1,44
France;90;France90;4003,07;1,78;76,75;8;0,53;5,31;108,47;3,83;4,17E+11;3157,29;1,07;17888,23;10,27;29,7;66,47;74,06;100;14811;876314;3995,8;6,3
Grèce;90;Grèce90;2182,95;1,4;76,94;10;0,7;2,44;97,82;10,71;34775000000;2400,83;1,55;10962,76;30,12;28,2;61,09;58,84;94,9;2620;141891;112,7;7,11
Hongrie;90;Hongrie90;2746,45;1,84;69,3;15;-0,32;5,84;94,55;14,54;28436000000;1345,36;-0,51;9035,75;3,86;39,06;46,4;62;99,06;1675;33834;6,3;5,64
Italie;90;Italie90;2689,61;1,26;77,12;9;0,08;3,09;103,13;3,57;2,13E+11;2157,55;0;17627,31;22,64;33,9;62,54;66,73;97,69;6760;520608;1171,3;7,03
Jordanie;90;Jordanie90;1103,79;5,4;68,48;35;3,66;8,06;70,89;8,08;3638000000;579,31;3;3131,66;16,58;28,12;63,8;72,23;81,51;70;412;222,8;3,21
Maroc;90;Maroc90;279,71;4,01;63,48;66;2,04;5,27;66,89;17,7;9628000000;401,98;3,88;2730,22;13,32;32,4;49,9;48,39;38,69;8361;569354;31,5;0,98
Pologne;90;Pologne90;2619,35;2,04;70,89;16;0,41;5,39;98,35;8,26;1,34E+11;1071,31;0;5824,09;0,68;50,11;41,63;60,73;98,07;8672;473011;48,9;9,12
